Date,English,Spanish,French,German,Swahili,Arabic,Kinyarwanda,Luganda
2005,0.0,0.0,0,0.0,0,0,0,0
2006,1.0,0.5,0,0,0,0,0,0
2007,1.0,0.5,0,0,0,0,0,0
2008,1.0,0.5,0,0,0,0,0,0
2009,1.0,0,0,0,0,0,0,0
2010,1.0,0,0,0,0,0,0,0
2011,1.0,0,0,0,0,0,0,0
2012,1.0,0,0,0,0,0,0,0
2013,1.0,0,0,0,0,0,0,0
2014,1.0,0.5,0,0,0,0,0,0
2015,1.0,0,0.5,0,0,0,0,0
2016,1.0,0,0.5,0,0,0.1,0,0
2017,1.0,0,0,0,0.3,0,0,0
2018,1.0,0,0,0,0,0,0,0.1
2019,1.0,0,0,0,0.1,0,0.1,0.1
2020,1.0,0,0,0,0.1,0,0.1,0
2021,1.0,0.7,0,0.1,0.1,0,0.1,0
2022,1.0,0.7,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
