City,Approx_Date,Lat,Long
Redford,1992,44.618195,-73.82116
Montreal,1999,45.5017,-73.5673
Munich,2000,48.1351,11.582
Soldatna,2004,60.4878,-151.0583
Outer Banks,2005,35.5585,-75.4665
Orlando,2005,28.5384,-81.3789
Washington DC,2006,38.9072,-77.0369
Managua,2006,12.115,-86.2362
Berlin,2009,52.52,13.405
Amsterdam,2009,52.3676,4.9041
Clarkson,2009,44.658681,-75.012221
NYC,2010,40.7128,-74.006
Cincinnati,2011,39.097428,-84.549037
Manchester,2012,53.4808,2.2426
Portland,2013,45.477682,-122.665499
New Orleans,2014,29.9511,-90.0715
Paris,2015,48.8566,2.3522
Rabat,2016,33.9716,-6.8498
Merzouga Desert,2016,31.1178,-4.0175
Copenhagen,2015,55.6761,12.5683
Carcassonne,2015,43.2132,2.3518
Geneva,2015,46.2044,6.1432
Nairobi,2016,-1.286389,36.817223
Kakamega,2016,0.2827,34.7519
Crescent City,2016,41.7558,-124.2026
Reykjavik,2016,64.1466,-21.9426
Seattle,2016,47.6062,-122.3321
Buffalo,2016,42.8864,-78.8784
San Francisco,2018,37.7749,-122.4194
Dharamshala,2018,32.219,76.3234
New Delhi,2018,28.6139,77.209
Mumbai,2018,19.076,72.8777
Yangon,2019,16.8409,96.1735
Kalaw,2019,20.6176,96.5623
Cape Town,2019,-33.9249,18.4241
Bangkok,2019,13.7563,100.5018
Tokyo,2019,35.6804,139.769
Addis Ababa,2019,8.9806,38.7578
Kilimanjaro,2019,-3.0674,37.3556
Kigali,2020,-1.9441,30.0619
Barcelona,2021,41.3874,2.1686
Lisbon,2021,38.7223,-9.1393
Maputo,2021,-25.9692,32.5732
Vilankulos,2021,-21.9997,35.3192
Harare,2021,-17.8216,31.0492
Victoria Falls,2021,-17.9243,25.8572
Lusaka,2021,-15.3875,28.3228
Santiago,2022,-33.4489,-70.6693
Ushuaia,2022,-54.8019,-68.303
Buenos Aires,2022,-34.6037,-58.3816
Lalibela,2019,12.0309,39.0476
Jinja,2017,0.4479,33.2026
Budapest,2017,47.4979,19.0402
